trade_id,symbol,contract,direction,entry_time,exit_time,entry_price,exit_price,contracts,point_value,commission,slippage,pnl_gross,pnl_net,r_multiple,stop_loss,target,session,tags,open
caaae372,MCL,MCLQ24,LONG,2024-06-25 02:00:00+00:00,2024-06-25 03:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
419d043c,MCL,MCLQ24,LONG,2024-06-25 03:00:00+00:00,2024-06-25 04:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
8f47f0d3,MCL,MCLQ24,LONG,2024-06-25 04:00:00+00:00,2024-06-25 05:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
fe9b6191,MCL,MCLQ24,LONG,2024-06-26 02:00:00+00:00,2024-06-26 03:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
edd26cf9,MCL,MCLQ24,LONG,2024-06-26 04:00:00+00:00,2024-06-26 05:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
f84b4698,MCL,MCLQ24,SHORT,2024-06-26 15:00:00+00:00,2024-06-26 23:00:00+00:00,81.00999999999999,80.6500015258789,1,10.0,2.25,0.1,3.5999847412108466,-1.1000152587891536,-0.15,81.76,78.8,NY_AFTERNOON,[],False
442bccbd,MCL,MCLQ24,LONG,2024-06-27 02:00:00+00:00,2024-06-27 03:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
e715d792,MCL,MCLQ24,LONG,2024-06-27 04:00:00+00:00,2024-06-27 05:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
8deca8d7,MCL,MCLQ24,SHORT,2024-06-27 14:00:00+00:00,2024-06-27 15:00:00+00:00,81.00999999999999,81.77000000000001,1,10.0,2.25,0.1,-7.600000000000193,-12.300000000000193,-1.64,81.76,78.8,NY_AFTERNOON,[],False
5f06f6b9,MCL,MCLQ24,LONG,2024-06-28 02:00:00+00:00,2024-06-28 03:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
a2ca809d,MCL,MCLQ24,LONG,2024-06-28 03:00:00+00:00,2024-06-28 04:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
c26046a5,MCL,MCLQ24,LONG,2024-06-28 04:00:00+00:00,2024-06-28 05:00:00+00:00,78.23,78.75,1,10.0,2.25,0.1,5.19999999999996,0.49999999999996003,0.26,78.04,78.76,LONDON_OPEN,[],False
246c9b7d,MCL,MCLQ24,SHORT,2024-06-28 15:00:00+00:00,2024-06-28 16:00:00+00:00,81.00999999999999,81.77000000000001,1,10.0,2.25,0.1,-7.600000000000193,-12.300000000000193,-1.64,81.76,78.8,NY_AFTERNOON,[],False
e8a8f335,MCL,MCLQ24,LONG,2024-07-03 02:00:00+00:00,2024-07-03 03:00:00+00:00,80.72,80.78999999999999,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,80.68,80.8,LONDON_OPEN,[],False
a909f0e4,MCL,MCLQ24,LONG,2024-07-03 03:00:00+00:00,2024-07-03 13:30:00+00:00,80.72,80.78999999999999,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,80.68,80.8,LONDON_OPEN,[],False
cd6fd63f,MCL,MCLQ24,LONG,2024-07-03 14:30:00+00:00,2024-07-03 16:30:00+00:00,81.65,83.19999694824219,1,10.0,2.25,0.1,15.499969482421818,10.799969482421819,1.52,80.94,83.74,NY_AFTERNOON,[],False
