trade_id,symbol,contract,direction,entry_time,exit_time,entry_price,exit_price,contracts,point_value,commission,slippage,pnl_gross,pnl_net,r_multiple,stop_loss,target,session,tags,open
dce02328,MCL,MCLG25,LONG,2025-01-09 04:00:00+00:00,2025-01-09 05:00:00+00:00,73.5,73.44999999999999,1,10.0,2.25,0.1,-0.5000000000001137,-5.200000000000114,-13.0,73.46,73.58,LONDON_OPEN,[],False
b2b05f9e,MCL,MCLG25,SHORT,2025-01-10 02:00:00+00:00,2025-01-10 03:00:00+00:00,74.53,74.46000000000001,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,74.57,74.45,LONDON_OPEN,[],False
93718b64,MCL,MCLG25,SHORT,2025-01-10 03:00:00+00:00,2025-01-10 04:00:00+00:00,74.53,74.46000000000001,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,74.57,74.45,LONDON_OPEN,[],False
ad9e602f,MCL,MCLG25,SHORT,2025-01-10 04:00:00+00:00,2025-01-10 05:00:00+00:00,74.53,74.46000000000001,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,74.57,74.45,LONDON_OPEN,[],False
855cb973,MCL,MCLG25,LONG,2025-01-10 15:00:00+00:00,2025-01-10 16:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
d597f947,MCL,MCLH25,SHORT,2025-01-13 02:00:00+00:00,2025-01-13 03:00:00+00:00,74.53,74.58,1,10.0,2.25,0.1,-0.4999999999999716,-5.199999999999972,-13.0,74.57,74.45,LONDON_OPEN,[],False
7920b5a5,MCL,MCLH25,LONG,2025-01-13 03:00:00+00:00,2025-01-13 04:00:00+00:00,74.27000000000001,77.67,1,10.0,2.25,0.1,33.999999999999915,29.299999999999915,2.55,73.12,77.68,LONDON_OPEN,[],False
190f2e48,MCL,MCLH25,LONG,2025-01-13 04:00:00+00:00,2025-01-13 05:00:00+00:00,74.27000000000001,77.67,1,10.0,2.25,0.1,33.999999999999915,29.299999999999915,2.55,73.12,77.68,LONDON_OPEN,[],False
c7f263b6,MCL,MCLH25,LONG,2025-01-13 14:00:00+00:00,2025-01-13 15:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
3031e893,MCL,MCLH25,LONG,2025-01-13 15:00:00+00:00,2025-01-13 16:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
5e682f19,MCL,MCLH25,LONG,2025-01-14 04:00:00+00:00,2025-01-14 05:00:00+00:00,74.27000000000001,77.67,1,10.0,2.25,0.1,33.999999999999915,29.299999999999915,2.55,73.12,77.68,LONDON_OPEN,[],False
3d707894,MCL,MCLH25,LONG,2025-01-14 14:00:00+00:00,2025-01-14 15:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
66277b4f,MCL,MCLH25,LONG,2025-01-14 15:00:00+00:00,2025-01-14 16:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
56e78fc1,MCL,MCLH25,LONG,2025-01-15 02:00:00+00:00,2025-01-15 03:00:00+00:00,74.27000000000001,77.67,1,10.0,2.25,0.1,33.999999999999915,29.299999999999915,2.55,73.12,77.68,LONDON_OPEN,[],False
19d8598e,MCL,MCLH25,LONG,2025-01-15 03:00:00+00:00,2025-01-15 04:00:00+00:00,74.27000000000001,77.67,1,10.0,2.25,0.1,33.999999999999915,29.299999999999915,2.55,73.12,77.68,LONDON_OPEN,[],False
fc8672bc,MCL,MCLH25,LONG,2025-01-15 04:00:00+00:00,2025-01-15 05:00:00+00:00,74.27000000000001,77.67,1,10.0,2.25,0.1,33.999999999999915,29.299999999999915,2.55,73.12,77.68,LONDON_OPEN,[],False
64b26b6b,MCL,MCLH25,LONG,2025-01-15 14:00:00+00:00,2025-01-15 15:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
011e584e,MCL,MCLH25,LONG,2025-01-15 15:00:00+00:00,2025-01-15 16:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
80fc8d93,MCL,MCLH25,LONG,2025-01-16 14:00:00+00:00,2025-01-16 15:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
f41ca571,MCL,MCLH25,LONG,2025-01-16 15:00:00+00:00,2025-01-16 16:00:00+00:00,74.21000000000001,74.85,1,10.0,2.25,0.1,6.399999999999864,1.6999999999998634,0.74,73.98,74.86,NY_AFTERNOON,[],False
6deeeb1a,MCL,MCLH25,LONG,2025-01-20 02:00:00+00:00,2025-01-20 04:00:00+00:00,78.2,78.02999877929688,1,10.0,2.25,0.1,-1.7000122070312784,-6.400012207031279,-1.56,77.79,79.39,LONDON_OPEN,[],False
f01778e9,MCL,MCLH25,SHORT,2025-01-20 04:00:00+00:00,2025-01-21 19:00:00+00:00,79.19,76.08999633789062,1,10.0,2.25,0.1,31.000036621093727,26.300036621093728,2.02,80.49,75.33,LONDON_OPEN,[],False
c0c3b86c,MCL,MCLH25,SHORT,2025-01-22 12:00:00+00:00,2025-01-22 13:00:00+00:00,78.49,78.42,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,78.53,78.41,NY_LUNCH,[],False
7c083143,MCL,MCLH25,SHORT,2025-01-22 14:00:00+00:00,2025-01-22 15:00:00+00:00,77.89,76.14,1,10.0,2.25,0.1,17.5,12.8,2.13,78.49,76.13,NY_AFTERNOON,[],False
2a3b9a32,MCL,MCLH25,SHORT,2025-01-22 15:00:00+00:00,2025-01-22 16:00:00+00:00,77.89,76.14,1,10.0,2.25,0.1,17.5,12.8,2.13,78.49,76.13,NY_AFTERNOON,[],False
4360bf30,MCL,MCLH25,SHORT,2025-01-23 02:00:00+00:00,2025-01-23 03:00:00+00:00,79.19,75.34,1,10.0,2.25,0.1,38.49999999999994,33.79999999999994,2.6,80.49,75.33,LONDON_OPEN,[],False
dc253461,MCL,MCLH25,SHORT,2025-01-23 03:00:00+00:00,2025-01-23 04:00:00+00:00,79.19,75.34,1,10.0,2.25,0.1,38.49999999999994,33.79999999999994,2.6,80.49,75.33,LONDON_OPEN,[],False
0be0613f,MCL,MCLH25,SHORT,2025-01-23 04:00:00+00:00,2025-01-23 05:00:00+00:00,79.19,75.34,1,10.0,2.25,0.1,38.49999999999994,33.79999999999994,2.6,80.49,75.33,LONDON_OPEN,[],False
3bb1ea9c,MCL,MCLH25,SHORT,2025-01-23 12:00:00+00:00,2025-01-23 13:00:00+00:00,78.49,78.42,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,78.53,78.41,NY_LUNCH,[],False
42739a23,MCL,MCLH25,SHORT,2025-01-23 14:00:00+00:00,2025-01-23 15:00:00+00:00,77.89,76.14,1,10.0,2.25,0.1,17.5,12.8,2.13,78.49,76.13,NY_AFTERNOON,[],False
aa847b69,MCL,MCLH25,SHORT,2025-01-23 15:00:00+00:00,2025-01-23 16:00:00+00:00,77.89,76.14,1,10.0,2.25,0.1,17.5,12.8,2.13,78.49,76.13,NY_AFTERNOON,[],False
f85305c4,MCL,MCLH25,SHORT,2025-01-24 12:00:00+00:00,2025-01-24 13:00:00+00:00,78.49,78.42,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,78.53,78.41,NY_LUNCH,[],False
c3027c46,MCL,MCLH25,SHORT,2025-01-24 14:00:00+00:00,2025-01-24 15:00:00+00:00,77.89,76.14,1,10.0,2.25,0.1,17.5,12.8,2.13,78.49,76.13,NY_AFTERNOON,[],False
ce82ef7c,MCL,MCLH25,SHORT,2025-01-24 15:00:00+00:00,2025-01-24 16:00:00+00:00,77.89,76.14,1,10.0,2.25,0.1,17.5,12.8,2.13,78.49,76.13,NY_AFTERNOON,[],False
3272dc0e,MCL,MCLH25,SHORT,2025-01-29 04:00:00+00:00,2025-01-29 05:00:00+00:00,79.19,75.34,1,10.0,2.25,0.1,38.49999999999994,33.79999999999994,2.6,80.49,75.33,LONDON_OPEN,[],False
e0122c78,MCL,MCLH25,SHORT,2025-01-30 02:00:00+00:00,2025-01-30 03:00:00+00:00,79.19,75.34,1,10.0,2.25,0.1,38.49999999999994,33.79999999999994,2.6,80.49,75.33,LONDON_OPEN,[],False
4b8d1515,MCL,MCLH25,SHORT,2025-01-30 03:00:00+00:00,2025-01-30 04:00:00+00:00,79.19,75.34,1,10.0,2.25,0.1,38.49999999999994,33.79999999999994,2.6,80.49,75.33,LONDON_OPEN,[],False
e5872970,MCL,MCLH25,SHORT,2025-01-30 04:00:00+00:00,2025-01-30 05:00:00+00:00,79.19,75.34,1,10.0,2.25,0.1,38.49999999999994,33.79999999999994,2.6,80.49,75.33,LONDON_OPEN,[],False
bc8c99ae,MCL,MCLH25,SHORT,2025-01-31 02:00:00+00:00,2025-01-31 03:00:00+00:00,77.97,77.72,1,10.0,2.25,0.1,2.5,-2.2,-2.2,78.07,77.71,LONDON_OPEN,[],False
d29385aa,MCL,MCLH25,SHORT,2025-01-31 04:00:00+00:00,2025-01-31 05:00:00+00:00,77.97,77.72,1,10.0,2.25,0.1,2.5,-2.2,-2.2,78.07,77.71,LONDON_OPEN,[],False
4ccab82d,MCL,MCLH25,SHORT,2025-02-03 02:00:00+00:00,2025-02-03 23:00:00+00:00,73.61999999999999,72.43000030517578,1,10.0,2.25,0.1,11.89999694824209,7.199996948242091,0.16,78.07,60.31,LONDON_OPEN,[],False
5fbf3729,MCL,MCLH25,SHORT,2025-02-04 02:00:00+00:00,2025-02-04 03:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
47c61990,MCL,MCLH25,SHORT,2025-02-04 03:00:00+00:00,2025-02-04 04:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
ffdb014c,MCL,MCLH25,SHORT,2025-02-04 04:00:00+00:00,2025-02-04 05:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
d6302753,MCL,MCLH25,SHORT,2025-02-05 02:00:00+00:00,2025-02-05 03:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
e9999b45,MCL,MCLH25,SHORT,2025-02-05 03:00:00+00:00,2025-02-05 04:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
7ed99792,MCL,MCLH25,SHORT,2025-02-05 04:00:00+00:00,2025-02-05 05:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
f027db9f,MCL,MCLH25,SHORT,2025-02-05 10:00:00+00:00,2025-02-05 11:00:00+00:00,73.83,73.76,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,73.87,73.75,NY_OPEN,[],False
baf81f52,MCL,MCLH25,SHORT,2025-02-05 12:00:00+00:00,2025-02-05 13:00:00+00:00,74.33,74.26,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,74.37,74.25,NY_LUNCH,[],False
e2a71510,MCL,MCLH25,SHORT,2025-02-06 02:00:00+00:00,2025-02-06 03:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
758fdaec,MCL,MCLH25,SHORT,2025-02-06 03:00:00+00:00,2025-02-06 04:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
0d52a593,MCL,MCLH25,SHORT,2025-02-06 04:00:00+00:00,2025-02-06 05:00:00+00:00,73.61999999999999,73.55000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.66,73.54,LONDON_OPEN,[],False
ee1b6117,MCL,MCLH25,SHORT,2025-02-06 10:00:00+00:00,2025-02-06 11:00:00+00:00,73.83,73.76,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,73.87,73.75,NY_OPEN,[],False
d1ad1707,MCL,MCLH25,SHORT,2025-02-06 12:00:00+00:00,2025-02-06 13:00:00+00:00,74.33,74.26,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,74.37,74.25,NY_LUNCH,[],False
1d97d105,MCL,MCLH25,SHORT,2025-02-07 10:00:00+00:00,2025-02-07 11:00:00+00:00,73.83,73.76,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,73.87,73.75,NY_OPEN,[],False
78ef9d11,MCL,MCLH25,SHORT,2025-02-07 12:00:00+00:00,2025-02-07 13:00:00+00:00,74.33,74.26,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,74.37,74.25,NY_LUNCH,[],False
9725b478,MCL,MCLH25,SHORT,2025-02-10 02:00:00+00:00,2025-02-10 03:00:00+00:00,73.72999999999999,73.66000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.77,73.65,LONDON_OPEN,[],False
5a9c1136,MCL,MCLH25,SHORT,2025-02-10 03:00:00+00:00,2025-02-10 04:00:00+00:00,73.72999999999999,73.66000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.77,73.65,LONDON_OPEN,[],False
b1f9969c,MCL,MCLH25,SHORT,2025-02-10 04:00:00+00:00,2025-02-10 05:00:00+00:00,73.72999999999999,73.66000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.77,73.65,LONDON_OPEN,[],False
0febe187,MCL,MCLJ25,SHORT,2025-02-11 02:00:00+00:00,2025-02-11 03:00:00+00:00,73.72999999999999,73.66000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.77,73.65,LONDON_OPEN,[],False
f071f8bd,MCL,MCLJ25,SHORT,2025-02-11 03:00:00+00:00,2025-02-11 04:00:00+00:00,73.72999999999999,73.66000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.77,73.65,LONDON_OPEN,[],False
39db848e,MCL,MCLJ25,SHORT,2025-02-11 04:00:00+00:00,2025-02-11 05:00:00+00:00,73.72999999999999,73.66000000000001,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,73.77,73.65,LONDON_OPEN,[],False
1a3f1f54,MCL,MCLJ25,SHORT,2025-02-14 10:00:00+00:00,2025-02-14 11:00:00+00:00,72.25,72.18,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,72.29,72.17,NY_OPEN,[],False
a9fc1b45,MCL,MCLJ25,SHORT,2025-02-14 12:00:00+00:00,2025-02-14 13:00:00+00:00,72.35,72.28,1,10.0,2.25,0.1,0.6999999999999318,-4.000000000000068,-10.0,72.39,72.27,NY_LUNCH,[],False
a122730a,MCL,MCLJ25,LONG,2025-02-19 02:00:00+00:00,2025-02-19 03:00:00+00:00,71.49000000000001,71.55999999999999,1,10.0,2.25,0.1,0.6999999999997897,-4.0000000000002105,-10.0,71.45,71.57,LONDON_OPEN,[],False
20404d8f,MCL,MCLJ25,LONG,2025-02-19 03:00:00+00:00,2025-02-19 04:00:00+00:00,70.77000000000001,71.38,1,10.0,2.25,0.1,6.099999999999852,1.399999999999852,0.64,70.55,71.39,LONDON_OPEN,[],False
695caa8c,MCL,MCLJ25,LONG,2025-02-19 04:00:00+00:00,2025-02-19 05:00:00+00:00,70.77000000000001,71.38,1,10.0,2.25,0.1,6.099999999999852,1.399999999999852,0.64,70.55,71.39,LONDON_OPEN,[],False
09780bd4,MCL,MCLJ25,LONG,2025-02-19 15:00:00+00:00,2025-02-19 23:00:00+00:00,71.73,72.18000030517578,1,10.0,2.25,0.1,4.500003051757773,-0.19999694824222747,-0.02,70.63,74.99,NY_AFTERNOON,[],False
9f75ac46,MCL,MCLJ25,LONG,2025-02-20 03:00:00+00:00,2025-02-20 05:00:00+00:00,70.77000000000001,71.38,1,10.0,2.25,0.1,6.099999999999852,1.399999999999852,0.64,70.55,71.39,LONDON_OPEN,[],False
2d50beef,MCL,MCLJ25,LONG,2025-02-24 02:00:00+00:00,2025-02-24 03:00:00+00:00,70.77000000000001,70.53999999999999,1,10.0,2.25,0.1,-2.300000000000182,-7.000000000000182,-3.18,70.55,71.39,LONDON_OPEN,[],False
282b9b91,MCL,MCLJ25,LONG,2025-02-24 03:00:00+00:00,2025-02-24 04:00:00+00:00,70.77000000000001,70.53999999999999,1,10.0,2.25,0.1,-2.300000000000182,-7.000000000000182,-3.18,70.55,71.39,LONDON_OPEN,[],False
30b920ce,MCL,MCLJ25,LONG,2025-02-24 04:00:00+00:00,2025-02-24 05:00:00+00:00,70.77000000000001,70.53999999999999,1,10.0,2.25,0.1,-2.300000000000182,-7.000000000000182,-3.18,70.55,71.39,LONDON_OPEN,[],False
f2434aec,MCL,MCLJ25,SHORT,2025-02-24 15:00:00+00:00,2025-02-24 23:00:00+00:00,70.89999999999999,70.83999633789062,1,10.0,2.25,0.1,0.6000366210936647,-4.099963378906335,-0.34,72.11,67.31,NY_AFTERNOON,[],False
d4e61d04,MCL,MCLJ25,LONG,2025-02-25 02:00:00+00:00,2025-02-25 11:00:00+00:00,70.77000000000001,70.53999999999999,1,10.0,2.25,0.1,-2.300000000000182,-7.000000000000182,-3.18,70.55,71.39,LONDON_OPEN,[],False
88383bd1,MCL,MCLJ25,SHORT,2025-02-26 14:00:00+00:00,2025-02-26 17:00:00+00:00,70.89999999999999,68.4,1,10.0,2.25,0.1,24.999999999999858,20.29999999999986,2.39,71.75,68.39,NY_AFTERNOON,[],False
