trade_id,symbol,contract,direction,entry_time,exit_time,entry_price,exit_price,contracts,point_value,commission,slippage,pnl_gross,pnl_net,r_multiple,stop_loss,target,session,tags,open
136497e4,MES,MESH26,LONG,2026-01-13 14:00:00+00:00,2026-01-13 23:00:00+00:00,7003.0,6997.75,1,5.0,2.25,1.25,-26.25,-33.25,-0.14,6954.75,7146.75,NY_AFTERNOON,[],False
98ea9928,MES,MESH26,LONG,2026-01-14 02:00:00+00:00,2026-01-14 03:00:00+00:00,6962.25,6964.0,1,5.0,2.25,1.25,8.75,1.75,0.35,6961.25,6964.25,LONDON_OPEN,[],False
94abfa06,MES,MESH26,LONG,2026-01-14 03:00:00+00:00,2026-01-14 04:00:00+00:00,6962.25,6964.0,1,5.0,2.25,1.25,8.75,1.75,0.35,6961.25,6964.25,LONDON_OPEN,[],False
de364233,MES,MESH26,LONG,2026-01-14 04:00:00+00:00,2026-01-14 05:00:00+00:00,6962.25,6964.0,1,5.0,2.25,1.25,8.75,1.75,0.35,6961.25,6964.25,LONDON_OPEN,[],False
b8606375,MES,MESH26,LONG,2026-01-15 02:00:00+00:00,2026-01-15 03:00:00+00:00,6962.25,6961.0,1,5.0,2.25,1.25,-6.25,-13.25,-2.65,6961.25,6964.25,LONDON_OPEN,[],False
3fb75d6a,MES,MESH26,SHORT,2026-01-15 03:00:00+00:00,2026-01-15 04:00:00+00:00,6988.75,6968.25,1,5.0,2.25,1.25,102.5,95.5,2.63,6996.0,6968.0,LONDON_OPEN,[],False
a359d132,MES,MESH26,SHORT,2026-01-15 04:00:00+00:00,2026-01-15 05:00:00+00:00,6988.75,6968.25,1,5.0,2.25,1.25,102.5,95.5,2.63,6996.0,6968.0,LONDON_OPEN,[],False
fab99532,MES,MESH26,LONG,2026-01-15 15:00:00+00:00,2026-01-15 23:00:00+00:00,7003.0,6989.75,1,5.0,2.25,1.25,-66.25,-73.25,-0.3,6954.75,7146.75,NY_AFTERNOON,[],False
c717c788,MES,MESH26,SHORT,2026-01-16 02:00:00+00:00,2026-01-16 03:00:00+00:00,6988.75,6996.25,1,5.0,2.25,1.25,-37.5,-44.5,-1.23,6996.0,6968.0,LONDON_OPEN,[],False
5247c8ec,MES,MESH26,SHORT,2026-01-16 03:00:00+00:00,2026-01-16 04:00:00+00:00,6988.75,6996.25,1,5.0,2.25,1.25,-37.5,-44.5,-1.23,6996.0,6968.0,LONDON_OPEN,[],False
1cc08573,MES,MESH26,LONG,2026-01-26 15:00:00+00:00,2026-01-26 23:00:00+00:00,6961.5,6981.25,1,5.0,2.25,1.25,98.75,91.75,0.19,6864.5,7251.5,NY_AFTERNOON,[],False
3874e2e5,MES,MESH26,SHORT,2026-01-27 02:00:00+00:00,2026-01-27 03:00:00+00:00,6954.5,6965.75,1,5.0,2.25,1.25,-56.25,-63.25,-1.15,6965.5,6922.5,LONDON_OPEN,[],False
