trade_id,symbol,contract,direction,entry_time,exit_time,entry_price,exit_price,contracts,point_value,commission,slippage,pnl_gross,pnl_net,r_multiple,stop_loss,target,session,tags,open
099cd715,MGC,MGCG25,LONG,2025-01-09 04:00:00+00:00,2025-01-09 05:00:00+00:00,2662.1,2662.8,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2661.7,2662.9,LONDON_OPEN,[],False
fa6779bd,MGC,MGCG25,LONG,2025-01-10 02:00:00+00:00,2025-01-10 03:00:00+00:00,2662.1,2662.8,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2661.7,2662.9,LONDON_OPEN,[],False
7b3423d4,MGC,MGCG25,LONG,2025-01-10 03:00:00+00:00,2025-01-10 04:00:00+00:00,2662.1,2662.8,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2661.7,2662.9,LONDON_OPEN,[],False
ea18236f,MGC,MGCG25,LONG,2025-01-10 04:00:00+00:00,2025-01-10 05:00:00+00:00,2662.1,2662.8,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2661.7,2662.9,LONDON_OPEN,[],False
f1061e99,MGC,MGCG25,LONG,2025-01-16 15:00:00+00:00,2025-01-16 23:00:00+00:00,2705.4999,2745.0,1,10.0,2.25,1.0,395.001000000002,388.501000000002,1.52,2679.9,2781.8998,NY_AFTERNOON,[],False
64207c9e,MGC,MGCG25,LONG,2025-01-17 10:00:00+00:00,2025-01-17 11:00:00+00:00,2683.2001,2683.9001000000003,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2682.8001,2684.0001,NY_OPEN,[],False
7871ee4c,MGC,MGCG25,LONG,2025-01-17 12:00:00+00:00,2025-01-17 13:00:00+00:00,2708.9999,2709.6999,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2708.5999,2709.7999,NY_LUNCH,[],False
bce18739,MGC,MGCG25,LONG,2025-01-17 14:00:00+00:00,2025-01-17 21:00:00+00:00,2705.4999,2739.800048828125,1,10.0,2.25,1.0,343.001488281252,336.501488281252,1.31,2679.9,2781.8998,NY_AFTERNOON,[],False
3c474e01,MGC,MGCG25,LONG,2025-01-20 04:00:00+00:00,2025-01-21 05:00:00+00:00,2692.1,2692.8,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2691.7,2692.9,LONDON_OPEN,[],False
18a8c77b,MGC,MGCH25,LONG,2025-01-22 14:00:00+00:00,2025-01-22 23:00:00+00:00,2705.4999,2763.39990234375,1,10.0,2.25,1.0,579.000023437502,572.500023437502,2.24,2679.9,2781.8998,NY_AFTERNOON,[],False
33e2ecb9,MGC,MGCH25,LONG,2025-01-23 02:00:00+00:00,2025-01-23 03:00:00+00:00,2692.1,2692.8,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2691.7,2692.9,LONDON_OPEN,[],False
21ad09b4,MGC,MGCH25,LONG,2025-01-23 14:00:00+00:00,2025-01-23 23:00:00+00:00,2755.4,2762.199951171875,1,10.0,2.25,1.0,67.99951171874909,61.49951171874909,0.08,2679.9,2981.5003,NY_AFTERNOON,[],False
1be92252,MGC,MGCH25,LONG,2025-01-27 04:00:00+00:00,2025-01-27 08:00:00+00:00,2747.9,2764.1999,1,10.0,2.25,1.0,162.9989999999998,156.4989999999998,2.79,2742.3001,2764.2999,LONDON_OPEN,[],False
2c1d6459,MGC,MGCH25,LONG,2025-01-27 14:00:00+00:00,2025-01-27 15:00:00+00:00,2755.4,2742.4,1,10.0,2.25,1.0,-130.0,-136.5,-1.06,2742.5,2793.7,NY_AFTERNOON,[],False
6d34393f,MGC,MGCH25,LONG,2025-01-28 02:00:00+00:00,2025-01-28 03:00:00+00:00,2747.9,2742.2001,1,10.0,2.25,1.0,-56.999000000000706,-63.499000000000706,-1.13,2742.3001,2764.2999,LONDON_OPEN,[],False
27b0c8a2,MGC,MGCH25,LONG,2025-01-28 03:00:00+00:00,2025-01-28 04:00:00+00:00,2747.9,2742.2001,1,10.0,2.25,1.0,-56.999000000000706,-63.499000000000706,-1.13,2742.3001,2764.2999,LONDON_OPEN,[],False
689745bd,MGC,MGCH25,SHORT,2025-01-28 04:00:00+00:00,2025-01-28 08:00:00+00:00,2760.5001,2738.8001,1,10.0,2.25,1.0,217.00000000000273,210.50000000000273,2.84,2767.9001,2738.7001,LONDON_OPEN,[],False
104a260c,MGC,MGCH25,LONG,2025-01-28 15:00:00+00:00,2025-01-28 23:00:00+00:00,2755.4,2769.800048828125,1,10.0,2.25,1.0,144.0004882812491,137.5004882812491,1.01,2741.8001,2795.7999,NY_AFTERNOON,[],False
ef77fb86,MGC,MGCH25,SHORT,2025-01-29 04:00:00+00:00,2025-01-29 05:00:00+00:00,2760.5001,2768.0000999999997,1,10.0,2.25,1.0,-74.99999999999545,-81.49999999999545,-1.1,2767.9001,2738.7001,LONDON_OPEN,[],False
4d392d3b,MGC,MGCH25,LONG,2025-01-29 14:00:00+00:00,2025-01-29 23:00:00+00:00,2756.1,2773.60009765625,1,10.0,2.25,1.0,175.0009765625009,168.5009765625009,1.18,2741.8001,2798.5997,NY_AFTERNOON,[],False
d3185dd7,MGC,MGCH25,SHORT,2025-01-30 02:00:00+00:00,2025-01-30 03:00:00+00:00,2760.5001,2768.0000999999997,1,10.0,2.25,1.0,-74.99999999999545,-81.49999999999545,-1.1,2767.9001,2738.7001,LONDON_OPEN,[],False
df44f18d,MGC,MGCH25,LONG,2025-01-30 03:00:00+00:00,2025-01-30 13:00:00+00:00,2762.4999,2822.5993000000003,1,10.0,2.25,1.0,600.9940000000051,594.4940000000051,2.94,2742.3001,2822.6993,LONDON_OPEN,[],False
cdf187ea,MGC,MGCH25,LONG,2025-02-03 02:00:00+00:00,2025-02-03 08:00:00+00:00,2775.7999999999997,2827.5,1,10.0,2.25,1.0,517.0000000000027,510.50000000000273,2.93,2758.4,2827.6,LONDON_OPEN,[],False
45b58f70,MGC,MGCH25,LONG,2025-02-03 10:00:00+00:00,2025-02-03 11:00:00+00:00,2771.2999999999997,2772.0,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2770.9,2772.1,NY_OPEN,[],False
051bf64c,MGC,MGCH25,LONG,2025-02-04 02:00:00+00:00,2025-02-04 03:00:00+00:00,2775.7999999999997,2827.5,1,10.0,2.25,1.0,517.0000000000027,510.50000000000273,2.93,2758.4,2827.6,LONDON_OPEN,[],False
cfb84ca3,MGC,MGCH25,LONG,2025-02-04 03:00:00+00:00,2025-02-04 04:00:00+00:00,2775.7999999999997,2827.5,1,10.0,2.25,1.0,517.0000000000027,510.50000000000273,2.93,2758.4,2827.6,LONDON_OPEN,[],False
dc0925a5,MGC,MGCH25,LONG,2025-02-04 04:00:00+00:00,2025-02-04 05:00:00+00:00,2775.7999999999997,2827.5,1,10.0,2.25,1.0,517.0000000000027,510.50000000000273,2.93,2758.4,2827.6,LONDON_OPEN,[],False
86a1553d,MGC,MGCH25,LONG,2025-02-04 14:00:00+00:00,2025-02-04 15:00:00+00:00,2777.2999999999997,2778.0,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2776.9,2778.1,NY_AFTERNOON,[],False
80495321,MGC,MGCH25,LONG,2025-02-04 15:00:00+00:00,2025-02-04 16:00:00+00:00,2777.2999999999997,2778.0,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2776.9,2778.1,NY_AFTERNOON,[],False
e9c98f2c,MGC,MGCH25,LONG,2025-02-06 02:00:00+00:00,2025-02-06 03:00:00+00:00,2775.7999999999997,2776.5,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2775.4,2776.6,LONDON_OPEN,[],False
d495af57,MGC,MGCH25,LONG,2025-02-06 03:00:00+00:00,2025-02-06 04:00:00+00:00,2775.7999999999997,2776.5,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2775.4,2776.6,LONDON_OPEN,[],False
691357a8,MGC,MGCH25,LONG,2025-02-11 12:00:00+00:00,2025-02-11 23:00:00+00:00,2892.7999999999997,2926.800048828125,1,10.0,2.25,1.0,340.00048828125273,333.50048828125273,0.46,2820.2,3110.1998,NY_LUNCH,[],False
72fbcba1,MGC,MGCH25,LONG,2025-02-13 14:00:00+00:00,2025-02-13 20:00:00+00:00,2910.7001,2957.6005,1,10.0,2.25,1.0,469.0039999999999,462.5039999999999,2.93,2894.9,2957.7005,NY_AFTERNOON,[],False
ae0174ca,MGC,MGCH25,LONG,2025-02-14 02:00:00+00:00,2025-02-14 03:00:00+00:00,2890.6,2902.9997000000003,1,10.0,2.25,1.0,123.99700000000394,117.49700000000394,2.73,2886.3001,2903.0997,LONDON_OPEN,[],False
3333c372,MGC,MGCH25,LONG,2025-02-14 03:00:00+00:00,2025-02-14 04:00:00+00:00,2890.6,2902.9997000000003,1,10.0,2.25,1.0,123.99700000000394,117.49700000000394,2.73,2886.3001,2903.0997,LONDON_OPEN,[],False
21dfeec8,MGC,MGCH25,LONG,2025-02-14 14:00:00+00:00,2025-02-14 19:00:00+00:00,2910.7001,2894.8,1,10.0,2.25,1.0,-159.00099999999838,-165.50099999999838,-1.05,2894.9,2957.7005,NY_AFTERNOON,[],False
391c4c08,MGC,MGCH25,LONG,2025-02-18 15:00:00+00:00,2025-02-18 23:00:00+00:00,2923.9999,2953.300048828125,1,10.0,2.25,1.0,293.001488281252,286.501488281252,0.98,2894.9,3010.8998,NY_AFTERNOON,[],False
176f4506,MGC,MGCJ25,LONG,2025-02-19 14:00:00+00:00,2025-02-19 15:00:00+00:00,2923.9999,2932.7998000000002,1,10.0,2.25,1.0,87.99900000000434,81.49900000000434,2.63,2920.9,2932.8998,NY_AFTERNOON,[],False
3ba512d4,MGC,MGCJ25,LONG,2025-02-19 15:00:00+00:00,2025-02-19 16:00:00+00:00,2923.9999,2932.7998000000002,1,10.0,2.25,1.0,87.99900000000434,81.49900000000434,2.63,2920.9,2932.8998,NY_AFTERNOON,[],False
4b8f7039,MGC,MGCJ25,LONG,2025-02-25 02:00:00+00:00,2025-02-25 03:00:00+00:00,2947.2001,2947.9001000000003,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2946.8001,2948.0001,LONDON_OPEN,[],False
74a01a49,MGC,MGCJ25,LONG,2025-02-25 03:00:00+00:00,2025-02-25 04:00:00+00:00,2947.2001,2947.9001000000003,1,10.0,2.25,1.0,7.0000000000027285,0.5000000000027285,0.13,2946.8001,2948.0001,LONDON_OPEN,[],False
9c252523,MGC,MGCJ25,SHORT,2025-02-26 03:00:00+00:00,2025-02-26 06:00:00+00:00,2951.5001,2919.9006999999997,1,10.0,2.25,1.0,315.99400000000514,309.49400000000514,2.89,2962.1999,2919.8007,LONDON_OPEN,[],False
