trade_id,symbol,contract,direction,entry_time,exit_time,entry_price,exit_price,contracts,point_value,commission,slippage,pnl_gross,pnl_net,r_multiple,stop_loss,target,session,tags,open
e2ddc6f6,MNQ,MNQH26,LONG,2026-01-13 14:00:00+00:00,2026-01-13 23:00:00+00:00,25924.25,25891.0,1,2.0,2.25,0.5,-66.5,-72.0,-0.12,25614.75,26851.75,NY_AFTERNOON,[],False
46646ed7,MNQ,MNQH26,SHORT,2026-01-15 03:00:00+00:00,2026-01-15 04:00:00+00:00,25873.0,25733.25,1,2.0,2.25,0.5,279.5,274.0,2.91,25920.0,25733.0,LONDON_OPEN,[],False
b7992388,MNQ,MNQH26,SHORT,2026-01-15 04:00:00+00:00,2026-01-15 05:00:00+00:00,25873.0,25733.25,1,2.0,2.25,0.5,279.5,274.0,2.91,25920.0,25733.0,LONDON_OPEN,[],False
e8298789,MNQ,MNQH26,LONG,2026-01-15 15:00:00+00:00,2026-01-15 19:00:00+00:00,25924.25,25802.25,1,2.0,2.25,0.5,-244.0,-249.5,-1.02,25802.5,26288.5,NY_AFTERNOON,[],False
3410cee8,MNQ,MNQH26,SHORT,2026-01-21 02:00:00+00:00,2026-01-21 03:00:00+00:00,25873.0,25733.25,1,2.0,2.25,0.5,279.5,274.0,2.91,25920.0,25733.0,LONDON_OPEN,[],False
015e55e4,MNQ,MNQH26,SHORT,2026-01-21 03:00:00+00:00,2026-01-21 04:00:00+00:00,25873.0,25733.25,1,2.0,2.25,0.5,279.5,274.0,2.91,25920.0,25733.0,LONDON_OPEN,[],False
50ef9a97,MNQ,MNQH26,SHORT,2026-01-22 04:00:00+00:00,2026-01-22 23:00:00+00:00,25784.5,25617.75,1,2.0,2.25,0.5,333.5,328.0,1.21,25920.0,25379.0,LONDON_OPEN,[],False
9f351421,MNQ,MNQH26,SHORT,2026-01-23 02:00:00+00:00,2026-01-23 21:00:00+00:00,25784.5,25680.5,1,2.0,2.25,0.5,208.0,202.5,0.75,25920.0,25379.0,LONDON_OPEN,[],False
318959b8,MNQ,MNQH26,LONG,2026-01-26 02:00:00+00:00,2026-01-26 03:00:00+00:00,25590.5,25624.5,1,2.0,2.25,0.5,68.0,62.5,2.66,25578.75,25624.75,LONDON_OPEN,[],False
04e3514c,MNQ,MNQH26,LONG,2026-01-26 03:00:00+00:00,2026-01-26 04:00:00+00:00,25590.5,25624.5,1,2.0,2.25,0.5,68.0,62.5,2.66,25578.75,25624.75,LONDON_OPEN,[],False
7bd022ab,MNQ,MNQH26,LONG,2026-01-26 04:00:00+00:00,2026-01-26 05:00:00+00:00,25590.5,25624.5,1,2.0,2.25,0.5,68.0,62.5,2.66,25578.75,25624.75,LONDON_OPEN,[],False
8148b3ea,MNQ,MNQH26,SHORT,2026-01-26 14:00:00+00:00,2026-01-26 15:00:00+00:00,25591.25,25791.25,1,2.0,2.25,0.5,-400.0,-405.5,-1.02,25791.0,24993.0,NY_AFTERNOON,[],False
63614484,MNQ,MNQH26,SHORT,2026-01-26 15:00:00+00:00,2026-01-26 16:00:00+00:00,25591.25,25791.25,1,2.0,2.25,0.5,-400.0,-405.5,-1.02,25791.0,24993.0,NY_AFTERNOON,[],False
